2025-09-25 15:33:30 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 15:34:18 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 15:35:18 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 16:10:47 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 16:10:51 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 16:11:11 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 16:11:28 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 16:11:48 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 16:11:52 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 16:12:00 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 16:12:19 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 16:12:39 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 16:12:59 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 16:13:18 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 16:13:35 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 16:13:38 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 16:13:51 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 16:14:11 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 16:14:31 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 16:14:51 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 16:15:11 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 16:16:11 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 16:16:12 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 16:16:32 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 16:18:05 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 16:18:25 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 16:19:18 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 16:19:44 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 16:19:44 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 16:20:03 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 16:20:23 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 16:20:43 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 16:21:02 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 16:21:22 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 16:22:22 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 16:23:18 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 16:24:18 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 16:24:39 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 16:24:41 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 16:24:56 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 16:25:11 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 16:25:12 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 16:25:17 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 16:25:20 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 16:25:32 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 16:25:50 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 16:26:06 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 16:26:21 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 16:26:32 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 16:26:48 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 16:27:44 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 16:27:50 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 16:28:06 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 16:28:21 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 16:28:32 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 16:28:50 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 18:07:26 | manual_ping | 8 | Nginx | 192.168.9.60 | OFFLINE
